#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99401
k__Viruses	0.00599
k__Bacteria|p__Firmicutes	48.31697
k__Bacteria|p__Bacteroidetes	46.5359
k__Bacteria|p__Verrucomicrobia	3.24509
k__Bacteria|p__Proteobacteria	1.17106
k__Bacteria|p__Actinobacteria	0.72397
k__Viruses|p__Viruses_noname	0.00599
k__Bacteria|p__Chlorobi	0.00101
k__Bacteria|p__Firmicutes|c__Clostridia	47.86545
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	46.5359
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.24509
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.72397
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.52342
k__Bacteria|p__Firmicutes|c__Negativicutes	0.38372
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.37974
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.24025
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.05475
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.02403
k__Bacteria|p__Firmicutes|c__Bacilli	0.01305
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00599
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.00362
k__Bacteria|p__Chlorobi|c__Chlorobia	0.00101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	47.86545
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	46.5359
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.24509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.51365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.50849
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.38372
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.37974
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.24025
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.21548
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.05475
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.02403
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.01305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00977
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00465
