#SampleID	Metaphlan2_Analysis
k__Bacteria	97.48885
k__Viruses	1.96824
k__Viroids	0.54291
k__Bacteria|p__Firmicutes	36.17814
k__Bacteria|p__Proteobacteria	29.72279
k__Bacteria|p__Bacteroidetes	16.29101
k__Bacteria|p__Actinobacteria	13.08171
k__Bacteria|p__Fusobacteria	2.02595
k__Viruses|p__Viruses_noname	1.96824
k__Viroids|p__Viroids_noname	0.54291
k__Bacteria|p__Spirochaetes	0.08789
k__Bacteria|p__Candidatus_Saccharibacteria	0.08076
k__Bacteria|p__Planctomycetes	0.0206
k__Bacteria|p__Firmicutes|c__Bacilli	29.18949
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.60453
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14.69331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	14.43899
k__Bacteria|p__Actinobacteria|c__Actinobacteria	13.08171
k__Bacteria|p__Firmicutes|c__Negativicutes	6.2153
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.02595
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.96824
k__Bacteria|p__Firmicutes|c__Clostridia	0.66945
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.66201
k__Viroids|p__Viroids_noname|c__Viroids_noname	0.54291
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.40604
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.18444
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.1039
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.08789
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.08076
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.02447
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.0206
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.60453
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	15.31293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	14.13322
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	13.87655
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	13.18816
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	12.93201
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	6.2153
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.02595
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.50516
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	1.34576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.66945
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.66201
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	0.54291
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.40604
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.36943
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	0.25305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.14693
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.11419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.1039
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0.092
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.08789
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.08076
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.07869
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.071
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.07025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.04069
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.02616
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.02447
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	0.0206
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	15.31293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	14.13322
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	13.18816
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	11.76292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	10.78998
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	7.21558
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	6.2153
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	4.8685
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	4.77966
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	1.50516
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	1.22208
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.10369
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	1.00995
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.80388
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.68648
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.66201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.59176
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Pospiviroidae	0.54291
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.40604
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Tymoviridae	0.34131
