#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	46.35777
k__Bacteria|p__Actinobacteria	26.51985
k__Bacteria|p__Firmicutes	22.10635
k__Bacteria|p__Bacteroidetes	3.99855
k__Bacteria|p__Fusobacteria	1.01364
k__Bacteria|p__Deinococcus_Thermus	0.00143
k__Bacteria|p__Candidatus_Saccharibacteria	0.00132
k__Bacteria|p__Spirochaetes	0.00108
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	35.68145
k__Bacteria|p__Actinobacteria|c__Actinobacteria	26.51985
k__Bacteria|p__Firmicutes|c__Bacilli	12.92067
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10.3248
k__Bacteria|p__Firmicutes|c__Negativicutes	9.06357
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3.59741
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.01364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.40115
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.34956
k__Bacteria|p__Firmicutes|c__Clostridia	0.12211
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.00196
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.00143
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00132
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00108
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	35.39689
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	26.51956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	12.77902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	9.57128
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	9.06357
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	3.59741
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.01364
