#SampleID	Metaphlan2_Analysis
k__Bacteria	96.6907
k__Viruses	3.3093
k__Bacteria|p__Firmicutes	48.08815
k__Bacteria|p__Actinobacteria	18.22246
k__Bacteria|p__Bacteroidetes	16.53581
k__Bacteria|p__Proteobacteria	12.90163
k__Viruses|p__Viruses_noname	3.3093
k__Bacteria|p__Fusobacteria	0.68874
k__Bacteria|p__Spirochaetes	0.18526
k__Bacteria|p__Candidatus_Saccharibacteria	0.04651
k__Bacteria|p__Synergistetes	0.02031
k__Bacteria|p__Tenericutes	0.00183
k__Bacteria|p__Firmicutes|c__Bacilli	32.50844
k__Bacteria|p__Actinobacteria|c__Actinobacteria	18.22246
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.31136
k__Bacteria|p__Firmicutes|c__Negativicutes	10.43863
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8.82978
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.87806
k__Bacteria|p__Firmicutes|c__Clostridia	3.5431
k__Viruses|p__Viruses_noname|c__Viruses_noname	3.3093
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.59798
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.68874
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.20497
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.18526
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.17995
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.04651
k__Bacteria|p__Synergistetes|c__Synergistia	0.02031
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.01948
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01384
k__Bacteria|p__Tenericutes|c__Mollicutes	0.00183
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	28.27557
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	17.15847
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.31136
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	10.43863
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8.64595
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	4.23287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.84539
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.5431
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	3.30177
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.59798
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.05018
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.68874
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.20497
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.18526
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.17995
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.16886
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.04651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.03267
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.02031
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.01948
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.01498
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.01381
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	0.01037
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00753
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00347
