#SampleID	Metaphlan2_Analysis
k__Bacteria	99.51122
k__Viruses	0.42794
k__Eukaryota	0.06083
k__Bacteria|p__Firmicutes	31.85296
k__Bacteria|p__Proteobacteria	27.32045
k__Bacteria|p__Actinobacteria	24.85243
k__Bacteria|p__Bacteroidetes	12.5216
k__Bacteria|p__Fusobacteria	1.29832
k__Bacteria|p__Candidatus_Saccharibacteria	0.88334
k__Bacteria|p__Spirochaetes	0.66468
k__Viruses|p__Viruses_noname	0.42794
k__Bacteria|p__Synergistetes	0.11744
k__Eukaryota|p__Ascomycota	0.06083
k__Bacteria|p__Firmicutes|c__Bacilli	26.16523
k__Bacteria|p__Actinobacteria|c__Actinobacteria	24.85243
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	21.84699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11.8406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.36078
k__Bacteria|p__Firmicutes|c__Clostridia	3.81269
k__Bacteria|p__Firmicutes|c__Negativicutes	1.45681
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.29832
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.96
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.88334
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.66468
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.49447
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.42794
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.41823
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.18653
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.15269
k__Bacteria|p__Synergistetes|c__Synergistia	0.11744
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.06083
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	24.63045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	24.04281
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	20.02537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11.8406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	4.14418
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.81269
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.12242
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.82162
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.45681
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.29832
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.96
