#SampleID	Metaphlan2_Analysis
k__Bacteria	98.80239
k__Viruses	1.19053
k__Eukaryota	0.00708
k__Bacteria|p__Fusobacteria	21.69122
k__Bacteria|p__Bacteroidetes	20.77045
k__Bacteria|p__Proteobacteria	20.42863
k__Bacteria|p__Firmicutes	19.59664
k__Bacteria|p__Actinobacteria	14.42074
k__Bacteria|p__Candidatus_Saccharibacteria	1.89201
k__Viruses|p__Viruses_noname	1.19053
k__Eukaryota|p__Ascomycota	0.00708
k__Bacteria|p__Spirochaetes	0.00269
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	21.69122
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	18.23764
k__Bacteria|p__Actinobacteria|c__Actinobacteria	14.42074
k__Bacteria|p__Firmicutes|c__Bacilli	14.29074
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10.01543
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9.5845
k__Bacteria|p__Firmicutes|c__Negativicutes	3.35796
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2.25499
k__Bacteria|p__Firmicutes|c__Clostridia	1.94644
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	1.89201
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.19053
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.8287
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.27783
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00708
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00269
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0015
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	21.69122
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	18.23764
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	14.20329
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	13.64915
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	9.74153
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8.97873
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.35796
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2.25499
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.94644
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	1.89201
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	1.19053
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.8287
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.64159
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.60577
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.27783
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.2739
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.21745
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.00708
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00269
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0015
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	18.23764
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	18.11564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	13.46252
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	9.74153
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	8.97873
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	7.81931
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	4.02687
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	3.57559
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.35796
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2.35711
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.9016
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	1.89201
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.343
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae	1.19053
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.91199
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.8287
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.64159
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.60577
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0.27783
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.2739
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.21745
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.18663
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.02544
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.0194
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales_noname	0.00708
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.00269
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0015
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	18.19068
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	15.29136
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	13.46252
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	8.47101
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	7.81931
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	4.75487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	4.50804
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	4.02687
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	3.57559
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	3.13918
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	2.82428
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2.35711
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname	1.89201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	1.50676
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1.25877
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Roseolovirus	1.19053
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.91199
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0.8287
