#SampleID	Metaphlan2_Analysis
k__Bacteria	99.95763
k__Viruses	0.04237
k__Bacteria|p__Bacteroidetes	96.05547
k__Bacteria|p__Firmicutes	3.6542
k__Bacteria|p__Proteobacteria	0.19069
k__Bacteria|p__Actinobacteria	0.05157
k__Viruses|p__Viruses_noname	0.04237
k__Bacteria|p__Acidobacteria	0.00362
k__Bacteria|p__Spirochaetes	0.00208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	96.05547
k__Bacteria|p__Firmicutes|c__Clostridia	3.43404
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.16628
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.11133
k__Bacteria|p__Firmicutes|c__Negativicutes	0.09808
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.05157
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.04237
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01986
k__Bacteria|p__Firmicutes|c__Bacilli	0.01074
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00455
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.00362
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	96.05547
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.43404
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.16628
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.11133
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.09808
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.04782
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.03182
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01986
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.01074
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	0.00918
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00455
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00375
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.00362
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00208
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00137
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	77.94555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	15.32165
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.78737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.27323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.18817
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.76103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.20356
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.1348
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.11133
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.09286
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.04782
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.03044
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.01986
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Narnaviridae	0.01119
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	0.01105
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae	0.00918
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00771
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.00566
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.00522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.00455
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae	0.00425
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.00362
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae	0.00352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.00284
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.00267
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.00208
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.00181
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.00147
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.00137
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.00104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.00091
