#SampleID	Metaphlan2_Analysis
k__Bacteria	96.38688
k__Viruses	3.56035
k__Archaea	0.03114
k__Eukaryota	0.02163
k__Bacteria|p__Proteobacteria	53.75556
k__Bacteria|p__Firmicutes	17.46306
k__Bacteria|p__Actinobacteria	14.86684
k__Bacteria|p__Bacteroidetes	8.98326
k__Viruses|p__Viruses_noname	3.56035
k__Bacteria|p__Fusobacteria	1.11496
k__Bacteria|p__Spirochaetes	0.08555
k__Bacteria|p__Candidatus_Saccharibacteria	0.05366
k__Bacteria|p__Cyanobacteria	0.03153
k__Archaea|p__Euryarchaeota	0.03114
k__Eukaryota|p__Ascomycota	0.02121
k__Bacteria|p__Chlorobi	0.01584
k__Bacteria|p__Acidobacteria	0.00954
k__Bacteria|p__Planctomycetes	0.00708
k__Eukaryota|p__Apicomplexa	0.00042
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	43.29842
k__Bacteria|p__Actinobacteria|c__Actinobacteria	14.86684
k__Bacteria|p__Firmicutes|c__Bacilli	12.21836
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10.07141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8.54516
k__Bacteria|p__Firmicutes|c__Negativicutes	3.88251
k__Viruses|p__Viruses_noname|c__Viruses_noname	3.56035
k__Bacteria|p__Firmicutes|c__Clostridia	1.27851
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.11496
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.42133
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.35155
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.08555
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.08368
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.05366
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	0.03153
k__Archaea|p__Euryarchaeota|c__Methanococci	0.03114
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.02687
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.01677
k__Bacteria|p__Chlorobi|c__Chlorobia	0.01584
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes	0.01038
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00981
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.00954
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00732
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.00708
k__Eukaryota|p__Ascomycota|c__Sordariomycetes	0.00102
k__Eukaryota|p__Apicomplexa|c__Coccidia	0.00042
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	43.13689
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	14.69273
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10.29166
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8.54516
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	5.17424
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4.89217
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.88251
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	2.1573
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.9267
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.26241
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.11496
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	1.07139
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.42133
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.35155
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.14747
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	0.13158
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.12902
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.11471
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.08555
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.08368
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.05366
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.04509
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.04229
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.03783
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales	0.03153
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.03114
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.01815
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.01677
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	0.0161
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0.01584
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	0.01038
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales	0.01032
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.00981
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.00954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00899
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.00872
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	0.00732
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	0.00708
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	0.00499
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales	0.00102
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida	0.00042
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	43.13689
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	10.41385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	9.60793
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	5.17424
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	4.82596
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	4.66266
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.88251
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.84632
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	3.66827
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	1.9267
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae	1.8888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.07538
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.67249
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.64552
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.46944
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.42133
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.42133
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae	0.35931
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.35155
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.2685
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.18494
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae	0.14747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.12902
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.11471
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Geminiviridae	0.08877
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.08555
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.08391
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.08368
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae	0.07868
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae	0.07499
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae	0.07019
