#SampleID	Metaphlan2_Analysis
k__Bacteria	99.96428
k__Viruses	0.03572
k__Bacteria|p__Firmicutes	32.8967
k__Bacteria|p__Fusobacteria	22.48436
k__Bacteria|p__Bacteroidetes	20.71058
k__Bacteria|p__Proteobacteria	18.60307
k__Bacteria|p__Actinobacteria	5.21812
k__Viruses|p__Viruses_noname	0.03572
k__Bacteria|p__Tenericutes	0.03297
k__Bacteria|p__Spirochaetes	0.01528
k__Bacteria|p__Candidatus_Saccharibacteria	0.00319
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	22.48436
k__Bacteria|p__Firmicutes|c__Negativicutes	20.98034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.65512
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	14.40111
k__Bacteria|p__Firmicutes|c__Bacilli	9.22391
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.21812
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	4.05432
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3.14815
k__Bacteria|p__Firmicutes|c__Clostridia	2.60562
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.05381
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.08683
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.03572
k__Bacteria|p__Tenericutes|c__Mollicutes	0.03297
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.01528
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00319
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.00114
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	22.48436
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	20.98034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.65512
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	14.40106
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	8.12122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	4.93273
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	4.05432
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3.14815
