#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	29.09113
k__Bacteria|p__Actinobacteria	26.99554
k__Bacteria|p__Firmicutes	13.25967
k__Bacteria|p__Proteobacteria	10.19838
k__Bacteria|p__Spirochaetes	9.72409
k__Bacteria|p__Fusobacteria	8.89925
k__Bacteria|p__Synergistetes	1.23407
k__Bacteria|p__Candidatus_Saccharibacteria	0.59786
k__Bacteria|p__Actinobacteria|c__Actinobacteria	26.99554
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.65716
k__Bacteria|p__Spirochaetes|c__Spirochaetia	9.72409
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	8.89925
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	8.45937
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	7.97461
k__Bacteria|p__Firmicutes|c__Clostridia	7.42075
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5.28621
k__Bacteria|p__Firmicutes|c__Bacilli	4.97792
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.7758
k__Bacteria|p__Synergistetes|c__Synergistia	1.23407
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.13636
k__Bacteria|p__Firmicutes|c__Negativicutes	0.84375
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.59786
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01725
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	26.99478
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.65716
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	9.72409
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	8.89925
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	8.45937
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	7.97461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	7.42075
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4.5677
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.64297
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3.28917
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	1.64325
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	1.23407
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.13636
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.84375
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.59786
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.48663
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.41022
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01725
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00075
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	16.05034
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	9.72409
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	8.94215
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	8.5879
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	8.45937
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	7.97461
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	6.16943
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	4.53
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	4.35085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.71501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	3.64297
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	3.28917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.19538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	2.79833
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	1.64325
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	1.23407
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.13636
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.84375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.59793
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.59786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.58125
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.47744
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.41022
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.40335
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.31136
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.24787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.0377
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.02082
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01725
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0.00919
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00075
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	16.05034
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	9.72409
