#SampleID	Metaphlan2_Analysis
k__Bacteria	99.17341
k__Viruses	0.82659
k__Bacteria|p__Firmicutes	57.99112
k__Bacteria|p__Actinobacteria	17.44071
k__Bacteria|p__Proteobacteria	12.39481
k__Bacteria|p__Bacteroidetes	7.91201
k__Bacteria|p__Fusobacteria	3.34817
k__Viruses|p__Viruses_noname	0.82659
k__Bacteria|p__Candidatus_Saccharibacteria	0.08659
k__Bacteria|p__Firmicutes|c__Bacilli	40.47306
k__Bacteria|p__Actinobacteria|c__Actinobacteria	17.44071
k__Bacteria|p__Firmicutes|c__Negativicutes	15.55945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7.42773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4.58409
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.87766
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3.34817
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3.32792
k__Bacteria|p__Firmicutes|c__Clostridia	1.91976
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.08942
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.82659
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.08659
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.03885
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	25.13787
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	15.55945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	15.33519
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	15.28599
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	7.19507
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4.58409
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3.80315
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3.34817
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	3.32792
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.91976
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.20854
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.08942
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.94618
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.82659
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.21691
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.08659
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.07451
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.03885
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.01575
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	22.80148
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	15.55945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	15.33519
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	9.63809
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	7.19507
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	3.80315
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.54816
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	3.32792
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	2.86203
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	2.69244
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2.33732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.79979
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	1.60573
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.20854
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.08942
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.03593
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	1.01085
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.94618
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	0.82659
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.73066
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.21691
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.09343
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.08659
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.07451
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.06407
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.03885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.03486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.02104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.01575
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	22.80148
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	15.33519
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	15.15636
