#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99592
k__Archaea	0.00408
k__Bacteria|p__Firmicutes	77.39685
k__Bacteria|p__Actinobacteria	13.62243
k__Bacteria|p__Verrucomicrobia	4.57973
k__Bacteria|p__Bacteroidetes	3.16945
k__Bacteria|p__Proteobacteria	1.18897
k__Bacteria|p__Candidatus_Saccharibacteria	0.03848
k__Archaea|p__Euryarchaeota	0.00408
k__Bacteria|p__Firmicutes|c__Clostridia	74.34536
k__Bacteria|p__Actinobacteria|c__Actinobacteria	13.62243
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4.57973
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.16945
k__Bacteria|p__Firmicutes|c__Negativicutes	1.70818
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.85767
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.69005
k__Bacteria|p__Firmicutes|c__Bacilli	0.48564
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.34681
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.15212
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.03848
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.00408
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	74.34536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	12.2451
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	4.57973
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.16945
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.70818
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.328
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.85767
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.69005
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.47363
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.34681
