#SampleID	Metaphlan2_Analysis
k__Bacteria	99.995
k__Archaea	0.005
k__Bacteria|p__Firmicutes	82.43228
k__Bacteria|p__Bacteroidetes	15.73909
k__Bacteria|p__Actinobacteria	1.56328
k__Bacteria|p__Proteobacteria	0.21235
k__Bacteria|p__Verrucomicrobia	0.03518
k__Bacteria|p__Candidatus_Saccharibacteria	0.01282
k__Archaea|p__Euryarchaeota	0.005
k__Bacteria|p__Firmicutes|c__Clostridia	45.78855
k__Bacteria|p__Firmicutes|c__Negativicutes	36.1982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.73909
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.56328
k__Bacteria|p__Firmicutes|c__Bacilli	0.31567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.17618
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.12986
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.03518
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.02194
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01422
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01282
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.005
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	45.78855
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	36.1982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.73909
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.40561
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.30654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.16208
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.15767
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.12986
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.03518
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02194
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0141
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00913
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.005
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	36.1982
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	18.8367
