#SampleID	Metaphlan2_Analysis
k__Bacteria	99.66467
k__Viruses	0.33533
k__Bacteria|p__Proteobacteria	34.0509
k__Bacteria|p__Actinobacteria	24.14655
k__Bacteria|p__Bacteroidetes	16.82105
k__Bacteria|p__Firmicutes	13.84012
k__Bacteria|p__Fusobacteria	5.85264
k__Bacteria|p__Candidatus_Saccharibacteria	4.49411
k__Bacteria|p__Spirochaetes	0.39294
k__Viruses|p__Viruses_noname	0.33533
k__Bacteria|p__Synergistetes	0.06506
k__Bacteria|p__Deinococcus_Thermus	0.0013
k__Bacteria|p__Actinobacteria|c__Actinobacteria	24.14655
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	17.10503
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	16.08519
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	9.89087
k__Bacteria|p__Firmicutes|c__Negativicutes	7.97396
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	5.85264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5.54767
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	4.49411
k__Bacteria|p__Firmicutes|c__Bacilli	4.11683
k__Bacteria|p__Firmicutes|c__Clostridia	1.74919
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	1.38252
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.86067
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.39294
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.33533
k__Bacteria|p__Synergistetes|c__Synergistia	0.06506
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.0013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	24.12843
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	15.51011
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	15.1991
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	9.89087
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7.97396
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	5.85264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	5.54767
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	4.49411
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.70802
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.74919
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	1.59493
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	1.38252
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.86742
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.86067
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.40881
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.39294
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.33322
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.06506
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.01868
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01813
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00211
