#SampleID	Metaphlan2_Analysis
k__Bacteria	94.48418
k__Viruses	5.51582
k__Bacteria|p__Proteobacteria	57.18582
k__Bacteria|p__Firmicutes	22.54153
k__Bacteria|p__Actinobacteria	10.22175
k__Viruses|p__Viruses_noname	5.51582
k__Bacteria|p__Bacteroidetes	2.79408
k__Bacteria|p__Fusobacteria	1.74099
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	56.30813
k__Bacteria|p__Firmicutes|c__Bacilli	20.73087
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.22175
k__Viruses|p__Viruses_noname|c__Viruses_noname	5.51582
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2.29665
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.74099
k__Bacteria|p__Firmicutes|c__Negativicutes	1.54073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.83933
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.49259
k__Bacteria|p__Firmicutes|c__Clostridia	0.26994
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.03836
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.00485
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	56.30236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	14.0352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	10.22149
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	6.69567
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	5.51582
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2.29665
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.74099
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.54073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.60001
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.49259
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.26994
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.23932
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.03836
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.00577
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.00485
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	56.30236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	12.53656
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	6.69567
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	6.3275
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	3.95629
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	3.86014
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	1.55954
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.54073
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.47089
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	1.41752
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.14169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.92593
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.60001
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.49259
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.32347
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.23023
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.16575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.11242
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.109
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.06328
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.03836
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.03568
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.02775
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.02038
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.01347
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.01283
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.00909
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.00577
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0.00485
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	55.25683
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	12.53656
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	6.69567
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	6.3275
