#SampleID	Metaphlan2_Analysis
k__Bacteria	98.96203
k__Viruses	1.0249
k__Eukaryota	0.00664
k__Archaea	0.00643
k__Bacteria|p__Firmicutes	32.98408
k__Bacteria|p__Actinobacteria	31.79973
k__Bacteria|p__Proteobacteria	25.6845
k__Bacteria|p__Bacteroidetes	7.25238
k__Bacteria|p__Fusobacteria	1.19005
k__Viruses|p__Viruses_noname	1.0249
k__Bacteria|p__Spirochaetes	0.01909
k__Bacteria|p__Synergistetes	0.00892
k__Archaea|p__Euryarchaeota	0.00634
k__Bacteria|p__Candidatus_Saccharibacteria	0.0062
k__Bacteria|p__Planctomycetes	0.0041
k__Eukaryota|p__Ascomycota	0.00321
k__Bacteria|p__Chlorobi	0.00246
k__Bacteria|p__Cyanobacteria	0.0024
k__Bacteria|p__Deinococcus_Thermus	0.00231
k__Bacteria|p__Acidobacteria	0.00189
k__Eukaryota|p__Eukaryota_noname	0.00148
k__Eukaryota|p__Basidiomycota	0.00132
k__Bacteria|p__Verrucomicrobia	0.00107
k__Bacteria|p__Chloroflexi	0.00103
k__Bacteria|p__Chlamydiae	0.00092
k__Bacteria|p__Gemmatimonadetes	0.00064
k__Eukaryota|p__Apicomplexa	0.00063
k__Bacteria|p__Thermotogae	0.00028
k__Archaea|p__Crenarchaeota	9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria	31.79973
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	18.95585
k__Bacteria|p__Firmicutes|c__Bacilli	16.02567
k__Bacteria|p__Firmicutes|c__Negativicutes	15.9359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	6.96888
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6.4322
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.19005
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.0249
k__Bacteria|p__Firmicutes|c__Clostridia	0.90434
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.26316
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.24103
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.11817
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.04206
