#SampleID	Metaphlan2_Analysis
k__Bacteria	99.66206
k__Viruses	0.26271
k__Viroids	0.07523
k__Bacteria|p__Firmicutes	61.18396
k__Bacteria|p__Bacteroidetes	36.41557
k__Bacteria|p__Verrucomicrobia	1.91834
k__Viruses|p__Viruses_noname	0.26271
k__Bacteria|p__Proteobacteria	0.1009
k__Viroids|p__Viroids_noname	0.07523
k__Bacteria|p__Actinobacteria	0.03851
k__Bacteria|p__Acidobacteria	0.00261
k__Bacteria|p__Chlorobi	0.00217
k__Bacteria|p__Firmicutes|c__Clostridia	60.00518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	36.41448
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.91834
k__Bacteria|p__Firmicutes|c__Bacilli	0.99873
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.26271
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.15242
k__Viroids|p__Viroids_noname|c__Viroids_noname	0.07523
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0638
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.03851
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02763
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.02517
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.00727
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00297
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.00261
k__Bacteria|p__Chlorobi|c__Chlorobia	0.00217
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00169
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.00109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	60.00518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	36.41448
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.91834
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.99873
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.17739
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.15242
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	0.07523
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.06761
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0638
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.02763
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.02517
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.02024
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01514
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	0.01121
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.00727
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Nidovirales	0.0065
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00297
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.00261
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0.00217
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00169
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.00109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	36.65188
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	16.65172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	16.62476
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	10.91779
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8.8336
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.22252
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	1.91834
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.99873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.31169
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.17739
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.15242
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.09808
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Avsunviroidae	0.07523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.0691
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.05214
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.02763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.02676
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.02517
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.02024
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae	0.01649
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.01514
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	0.01363
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.01167
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.01076
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae	0.00979
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae	0.00861
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0.00727
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Nidovirales|f__Coronaviridae	0.0065
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae	0.00573
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae	0.00566
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Narnaviridae	0.00544
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Permutotetraviridae	0.00492
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.00297
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.00261
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornavirales_noname	0.0026
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.00236
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Hypoviridae	0.00217
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	0.00217
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.00169
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Endornaviridae	0.00141
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.00109
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.00062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0004
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	24.97673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	16.65172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	16.62476
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	10.91779
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	8.16129
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	5.17881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	3.40032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2.98294
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.77962
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2.72771
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	1.91834
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.87447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.53017
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.46856
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.31169
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.20062
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	0.17448
