#SampleID	Metaphlan2_Analysis
k__Bacteria	72.70608
k__Viruses	27.29392
k__Bacteria|p__Proteobacteria	27.78133
k__Viruses|p__Viruses_noname	27.29392
k__Bacteria|p__Firmicutes	27.22688
k__Bacteria|p__Actinobacteria	12.80724
k__Bacteria|p__Bacteroidetes	4.19106
k__Bacteria|p__Fusobacteria	0.68641
k__Bacteria|p__Candidatus_Saccharibacteria	0.01316
k__Viruses|p__Viruses_noname|c__Viruses_noname	27.29392
k__Bacteria|p__Firmicutes|c__Bacilli	19.34199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	14.65104
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13.03212
k__Bacteria|p__Actinobacteria|c__Actinobacteria	12.80724
k__Bacteria|p__Firmicutes|c__Negativicutes	7.84545
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2.22564
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.96542
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.68641
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.09817
k__Bacteria|p__Firmicutes|c__Clostridia	0.03943
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01316
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	27.29392
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	14.61059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	12.88883
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	12.80724
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	9.69
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	9.65199
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7.84545
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2.22564
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.96542
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.68641
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.12117
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.09817
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.04046
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.03943
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.02212
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01316
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	27.29392
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	14.61059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	12.88883
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	9.69
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	7.84545
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	7.16616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	5.43046
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	4.20985
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	4.09086
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1.96542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.62905
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	1.35128
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.59077
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.41773
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.26869
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.18509
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.12117
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.09817
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.04046
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.03268
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae	0.02212
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.02183
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.01316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.00581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.00415
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.00369
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.0026
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname	27.29392
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	14.3267
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	12.19467
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	9.69
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	7.84545
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	7.16616
