#SampleID	Metaphlan2_Analysis
k__Bacteria	99.78282
k__Viruses	0.21718
k__Bacteria|p__Firmicutes	42.95782
k__Bacteria|p__Bacteroidetes	26.25664
k__Bacteria|p__Actinobacteria	11.70394
k__Bacteria|p__Proteobacteria	10.50981
k__Bacteria|p__Fusobacteria	8.28767
k__Viruses|p__Viruses_noname	0.21718
k__Bacteria|p__Candidatus_Saccharibacteria	0.05236
k__Bacteria|p__Spirochaetes	0.01459
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	26.1314
k__Bacteria|p__Firmicutes|c__Negativicutes	23.47541
k__Bacteria|p__Firmicutes|c__Bacilli	15.06304
k__Bacteria|p__Actinobacteria|c__Actinobacteria	11.70394
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	8.28767
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.2578
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3.64568
k__Bacteria|p__Firmicutes|c__Clostridia	2.62678
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.79259
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.60633
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.21718
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.1226
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.05236
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.01459
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.00264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	26.1314
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	23.47541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	14.51267
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	9.40521
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	8.28767
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	6.25508
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3.64568
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.62678
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.297
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.79259
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.6057
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.55036
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.21638
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.1226
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.05236
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.01459
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.00272
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.00264
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00172
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.0008
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00064
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	26.07792
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	23.47541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	13.31023
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	7.73387
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	7.42669
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	6.25508
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	3.64568
